timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,applied_force,d_applied_force,contact_force,subtask,task,img,wrist_img
1727395541.7185867,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,15.63563959099837,0.0,0.49050000000000005,0.0,0.0,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395541.783657.jpeg,1_1727395541.6771436.jpeg
1727395541.7657697,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,15.63563959099837,0.0,0.49050000000000005,0.0,0.0,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395541.783657.jpeg,1_1727395541.6771436.jpeg
1727395541.8268905,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,15.63563959099837,0.00046838833844020655,0.49050000000000005,0.0,0.0,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395541.783657.jpeg,1_1727395541.8771393.jpeg
1727395541.9033008,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,15.63610797933681,-0.6843190605203162,0.49050000000000005,0.0,0.0,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395541.783657.jpeg,1_1727395541.8771393.jpeg
1727395541.9947474,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,14.951788918816494,-0.2276029505466326,0.49050000000000005,0.0,0.0591936,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.1177268.jpeg,1_1727395542.0771356.jpeg
1727395542.1003687,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,14.724185968269861,-0.45585821493434153,0.49050000000000005,0.0,0.03753611428571429,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.1177268.jpeg,1_1727395542.0771356.jpeg
1727395542.2350264,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,14.26832775333552,-1.137508537710513,0.49050000000000005,0.0,0.021187911728395063,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.2847612.jpeg,1_1727395542.2771325.jpeg
1727395542.3694196,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,13.130819215625007,-0.4545861751977682,0.49050000000000005,0.0,0.06439817283950618,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.4517956.jpeg,1_1727395542.2771325.jpeg
1727395542.4895277,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,12.676233040427238,-0.4542015103394128,0.49050000000000005,0.0,0.083852,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.4517956.jpeg,1_1727395542.47713.jpeg
1727395542.6095455,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,12.222031530087826,-0.22619297397159244,0.49050000000000005,0.0,0.07281725,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.61883.jpeg,1_1727395542.677127.jpeg
1727395542.7289932,1.075263,-1.056526,1.570085,-2.556136,-1.885616,0.646465,-0.24366,-0.630368,0.239659,-2.5797369399083045,0.05056351147873456,1.9447965716335927,0.0,0.0,0.0,0.0,0.0,0.0,11.995838556116233,-0.4535797753720274,0.49050000000000005,0.0,0.07638980000000001,grasp scallion stalk,grasp scallion stalk and return to original position,1_1727395542.7858648.jpeg,1_1727395542.677127.jpeg
