timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,subtask,task,img,wrist_img
1727220143.1812162,0.945983,-1.739389,2.286415,-2.887711,-1.119622,-0.486345,-0.104956,-0.396106,0.316424,-2.2766516837526303,-0.0528072697243106,-3.112232684350629,-5.0000000000050004e-06,9.000000000036756e-06,1.3000000000040757e-05,2.6072022100809278e-05,-6.725927646007712e-05,1.3375697236472917e-05,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.1289053.jpeg,0_1727220143.141236.jpeg
1727220143.2772162,0.94881,-1.732145,2.28415,-2.893823,-1.121633,-0.48439,-0.105147,-0.397984,0.315351,-2.2765326839940565,-0.053138286585300995,-3.112044155979778,2.5000000000011124e-05,-0.00011800000000000699,-3.799999999998249e-05,-9.317620348303635e-05,0.00026483896391861494,-0.00017537336766260125,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.2959373.jpeg,0_1727220143.341231.jpeg
1727220143.3732162,0.967229,-1.686214,2.268243,-2.930263,-1.134816,-0.469336,-0.106086,-0.41021,0.308572,-2.2763370611949756,-0.05298151086716322,-3.112386620958439,-2.3999999999996247e-05,-0.00014199999999997548,-0.000130000000000019,-0.000290646864932409,0.00011284767860096634,0.00016642911744702005,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.2959373.jpeg,0_1727220143.341231.jpeg
1727220143.469216,0.998905,-1.600881,2.234141,-2.99137,-1.157661,-0.444758,-0.107997,-0.433555,0.295392,-2.276490695782531,-0.05303149504438717,-3.1123697504371224,2.000000000002e-06,-0.00018299999999998873,-6.699999999998374e-05,-0.00014044014897951484,0.00017156694239995468,0.00014785898148383936,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.462969.jpeg,0_1727220143.5412273.jpeg
1727220143.565216,1.038007,-1.48509,2.177211,-3.061225,-1.185978,-0.415059,-0.110736,-0.466913,0.276569,-2.276810366956268,-0.05284350366562695,-3.1122603663490005,6.0000000000004494e-05,-9.199999999998099e-05,9.599999999998499e-05,0.00017422314319981425,-3.7386780886647375e-06,3.573816633384297e-05,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.6300008.jpeg,0_1727220143.5412273.jpeg
1727220143.661216,1.072868,-1.371554,2.108594,-3.115306,-1.211494,-0.389066,-0.113516,-0.501742,0.257035,-2.2769261155366816,-0.05276046961232554,-3.112276250151707,3.500000000000725e-05,-6.399999999995298e-05,0.00011099999999997223,0.0002847153749025999,-7.300556063297159e-05,4.866456591878787e-05,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.6300008.jpeg,0_1727220143.741223.jpeg
1727220143.757216,1.101442,-1.269504,2.035538,-3.151584,-1.23246,-0.368123,-0.11614,-0.534891,0.238499,-2.276682409414424,-0.05281148117142917,-3.1122621213035524,-8.000000000008e-06,0.0,8.900000000000574e-05,3.598200535037677e-05,-9.5557826603615e-06,3.239432921287033e-05,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.6300008.jpeg,0_1727220143.741223.jpeg
1727220143.853216,1.119071,-1.201351,1.980581,-3.168602,-1.245487,-0.355493,-0.118005,-0.557962,0.225503,-2.2769214937734987,-0.05277707004004039,-3.1121829429838175,-1.000000000001e-06,1.8999999999991246e-05,0.00015499999999998848,0.00027165786790606106,-3.4984162619530745e-05,-4.907888796790161e-05,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.964068.jpeg,0_1727220143.941219.jpeg
1727220143.949216,1.127621,-1.166928,1.950774,-3.175237,-1.251797,-0.349268,-0.118953,-0.569919,0.218841,-2.2768196437124053,-0.05275125936776418,-3.112233425569878,-1.4000000000000123e-05,6.099999999997774e-05,0.00013399999999999523,0.00016795995977503253,-5.601035654641956e-05,7.412192486455638e-07,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.964068.jpeg,0_1727220143.941219.jpeg
1727220144.0452158,1.128831,-1.16199,1.946355,-3.175931,-1.25248,-0.34862,-0.119076,-0.571663,0.217877,-2.2768455634553284,-0.052746975363437525,-3.1119351148304206,-3.699999999999537e-05,-4.000000000004e-06,8.299999999999974e-05,0.00019387970269812982,-6.029436087307688e-05,-0.00029756952020854044,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.964068.jpeg,0_1727220144.1412158.jpeg
1727220144.1412158,1.128807,-1.162001,1.946355,-3.175979,-1.252611,-0.34856,-0.119099,-0.571656,0.217888,-2.2768299155287663,-0.052808594218745154,-3.1120944498055243,-1.4000000000000123e-05,-1.0999999999983245e-05,7.199999999998874e-05,0.000178231776136073,1.324494434552792e-06,-0.000138234545104865,100.0,0.0,0.0,0.0,0.0,move to grasp small suction cup,grasp small suction cup and return to original position,0_1727220143.964068.jpeg,0_1727220144.1412158.jpeg
